City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
43,georgetown,5.4112,100.3354,26.96,82,20,2.68,MY,1706301686
44,barrington,41.7407,-71.3087,7.14,91,100,4.12,US,1706301768
45,kolonia,50.9333,6.95,6.65,74,75,3.6,DE,1706301768
46,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,87,75,4.0,RU,1706301768
47,lerwick,60.1545,-1.1494,8.0,81,100,14.56,GB,1706301768
48,bilibino,68.0546,166.4372,-40.61,100,99,0.21,RU,1706301769
49,ashland,40.8167,-82.2665,8.36,97,100,3.17,US,1706301507
50,bredasdorp,-34.5322,20.0403,21.27,76,100,3.09,ZA,1706301769
51,stanley,54.868,-1.6985,6.27,83,40,4.63,GB,1706301769
52,manchester,53.4809,-2.2374,6.19,80,20,3.09,GB,1706301633
53,sambava,-14.2667,50.1667,25.48,86,92,2.74,MG,1706301770
54,smithers,54.7804,-127.1743,3.18,87,100,2.57,CA,1706301770
55,iqaluit,63.7506,-68.5145,-29.06,68,40,7.72,CA,1706301770
56,lebu,-37.6167,-73.65,18.5,81,58,2.86,CL,1706301770
57,ushuaia,-54.8,-68.3,18.81,42,0,3.09,AR,1706301770
58,hawaiian paradise park,19.5933,-154.9731,27.73,71,0,1.54,US,1706301770
59,kalianget,-7.05,113.9333,26.33,86,100,4.02,ID,1706301770
60,leava,-14.3,-178.1667,28.23,77,100,8.52,WF,1706301771
61,beipiao,41.7919,120.7792,-11.07,69,1,0.99,CN,1706301771
62,punta arenas,-53.15,-70.9167,22.01,32,0,5.14,CL,1706301771
63,bardai,11.65,7.2333,18.83,23,0,6.28,NG,1706301771
64,plettenberg bay,-34.0527,23.3716,20.99,75,99,2.54,ZA,1706301771
65,st. john's,47.5649,-52.7093,-5.02,72,75,5.14,CA,1706301715
66,blackmans bay,-43.0167,147.3167,14.07,63,99,1.34,AU,1706301772
67,saint-philippe,-21.3585,55.7679,24.77,89,72,4.31,RE,1706301772
68,la ronge,55.1001,-105.2842,-3.86,63,75,4.12,CA,1706301772
69,east london,-33.0153,27.9116,24.32,69,9,1.33,ZA,1706301772
70,hamilton,39.1834,-84.5333,10.69,85,100,4.63,US,1706301494
71,pericos,25.05,-107.7,27.95,16,0,3.21,MX,1706301772
72,i-n-salah,27.1935,2.4607,17.77,22,0,7.88,DZ,1706301773
73,cambria,35.5641,-121.0808,20.12,74,93,3.58,US,1706301773
74,katsuura,35.1333,140.3,4.85,59,48,4.96,JP,1706301773
75,college,64.8569,-147.8028,-33.94,69,100,0.0,US,1706301773
76,san patricio,28.017,-97.5169,19.05,85,96,2.41,US,1706301773
77,al bawiti,28.3492,28.8659,13.58,61,44,4.86,EG,1706301774
78,ancud,-41.8697,-73.8203,17.0,87,70,5.49,CL,1706301774
79,mumbwa,-14.9783,27.0619,16.8,92,3,1.89,ZM,1706301774
80,weno,7.4515,151.8468,26.97,89,40,2.57,FM,1706301774
81,derzhavinsk,51.1,66.3167,-15.6,95,86,5.48,KZ,1706301774
82,hammerfest,70.6634,23.6821,-5.75,73,40,5.66,NO,1706301775
83,ebon,4.582,168.6964,27.97,77,100,7.13,MH,1706301775
84,edinburgh of the seven seas,-37.0676,-12.3116,17.0,83,13,5.09,SH,1706301775
85,colonia,50.9333,6.95,6.65,74,75,3.6,DE,1706301775
86,vredendal,-31.6683,18.5012,21.72,65,100,1.97,ZA,1706301775
87,remire-montjoly,4.9167,-52.2667,29.02,70,75,4.63,GF,1706301775
88,silva jardim,-22.6508,-42.3917,25.99,90,55,2.7,BR,1706301775
89,dubbo,-32.25,148.6167,22.07,46,100,4.63,AU,1706301776
90,la passe,45.5549,-0.8967,11.13,95,100,2.77,FR,1706301776
91,shingu,33.7333,135.9833,1.19,83,4,3.04,JP,1706301776
92,uturoa,-16.7333,-151.4333,28.11,73,40,1.9,PF,1706301776
93,ugoofaaru,5.6667,73.0,27.93,70,71,6.94,MV,1706301776
94,ahvaz,31.3203,48.6693,14.97,88,100,2.06,IR,1706301776
95,gornozavodsk,58.3758,58.3211,-16.7,99,100,1.1,RU,1706301777
96,brookings,44.3114,-96.7984,-0.49,97,100,2.06,US,1706301777
